trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.5, 'e': 0.6058201566434629}",25,4,-63.244992505931144,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.5978339822872982}",30,0,-59.07324590186256,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.5897880250310983}",20,7,-53.93914033163249,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.5816830894638835}",20,11,-36.70707517775804,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.5735199860724567}",20,6,-7.725154500205419,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5652995311603544}",25,0,-21.65642100805859,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.5570225467662173}",20,4,-55.21020049088822,"{0: 9, 1: 4, 2: 1, 3: 2, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5486898605815876}",20,14,-13.77860650495283,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.5403023058681398}",25,14,-46.455576902356185,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.5318607213743555}",25,17,-0.7851155068404774,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.5233659512516496}",20,14,-14.817334128643939,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.5148188449699553}",25,0,-35.765532898584155,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.5062202572327784}",25,0,-28.140678929870084,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
